age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Foreign Language,Arabic,Common phrases,hard,dialogue,Formally introduce yourself and respond to 'How are you?',اسمي علي، أنا بخير، شكرا,"[""Say 'اسمي علي' to introduce yourself."", ""Respond 'أنا بخير' politely."", ""Add 'شكرا' politely.""]"
5–7,Foreign Language,Italian,Common phrases,hard,dialogue,Formally introduce yourself and respond to 'How are you?',"Mi chiamo Lucia, sto bene, grazie","[""Say 'Mi chiamo Lucia' to introduce yourself."", ""Respond 'sto bene' politely."", ""Add 'grazie' politely.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat the word 'gato'.,gato,"[""Listen carefully to the pronunciation of 'gato'."", ""Notice the 'g' sound at the beginning."", 'Repeat the word clearly.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'bonjour'.,bonjour,"[""Pay attention to the nasal 'on' sound."", 'Repeat slowly at first, then faster.', 'Use a friendly tone.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Apfel'.,Apfel,"[""Focus on the 'pf' sound combination."", 'Repeat the word slowly.', 'Try to match the pronunciation exactly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'كتاب' (book).,كتاب,"[""Notice the 'k' and 't' sounds."", 'Repeat slowly, focusing on each letter.', 'Say the word clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'cane'.,cane,"[""Focus on the hard 'c' sound."", 'Repeat clearly.', 'Pay attention to the vowel sounds.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'llama' and identify the double 'l' sound.,llama,"[""Notice the 'll' sound is like a 'y'."", 'Repeat the word slowly.', ""Compare it to the normal 'l' sound.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'eau' and repeat the vowel sound.,eau,"[""Focus on the 'o' sound made by 'eau'."", 'Say it slowly first.', 'Repeat several times until accurate.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'schlafen' and repeat the 'sch' sound.,schlafen,"[""Focus on the 'sch' pronunciation."", 'Repeat the word slowly.', ""Check that the 'sch' sounds like 'sh'.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'شمس' (sun) and repeat the 'sh' sound.,شمس,"[""Focus on the 'ش' sound."", 'Repeat slowly, emphasizing the consonant.', 'Say the full word clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'gnocco' and repeat the 'gn' sound.,gnocco,"[""Notice the 'gn' sound like 'ny' in canyon."", 'Repeat slowly, focusing on pronunciation.', 'Say the whole word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'huevo' and identify the silent 'h'.,huevo,"[""Notice that 'h' is silent."", ""Repeat the word correctly without pronouncing 'h'."", ""Compare with words where 'h' is not silent.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'bouche' and repeat the 'ou' sound.,bouche,"[""Focus on 'ou' pronounced like 'oo'."", 'Repeat the word slowly.', 'Say the word fluently after practice.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Fünf' and repeat the 'ü' sound.,Fünf,"[""Focus on the umlaut 'ü'."", 'Repeat slowly, matching the vowel sound.', 'Say the word clearly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'قلب' (heart) and repeat the 'q' sound.,قلب,"[""Focus on the deep 'ق' sound."", 'Repeat slowly and clearly.', ""Ensure the sound is distinct from 'ك'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'sciare' and repeat the 'sci' sound.,sciare,"[""Focus on 'sci' pronounced like 'sh'."", 'Repeat slowly at first.', 'Say the whole word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Identify the rolled 'r' in 'perro'.,perro,"[""Listen carefully to the double 'r'."", 'Try to roll your tongue.', 'Repeat until it sounds like the example.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'rouge' and identify the 'r' sound.,rouge,"[""Focus on the French guttural 'r'."", 'Repeat slowly.', 'Use correct mouth position.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'Bach' and pronounce the 'ch' sound.,Bach,"[""Focus on the back-of-throat 'ch' sound."", 'Repeat slowly.', ""Compare with other 'ch' words.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'ظرف' (envelope) and repeat the 'ظ' sound.,ظرف,"[""Focus on the heavy 'ظ' sound."", 'Repeat slowly and clearly.', ""Ensure the sound is distinct from 'ز'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'gli' in 'famiglia' and repeat.,famiglia,"[""Focus on 'gli' pronounced like 'ly'."", 'Repeat slowly.', 'Say the whole word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'sol'.,sol,"[""Focus on the single 's' sound."", 'Repeat the word slowly.', ""Emphasize the vowel 'o'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'chat'.,chat,"[""Notice the 'ch' pronounced as 'sh'."", 'Repeat the word slowly.', ""Pay attention to the final 't' which is silent.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Haus'.,Haus,"[""Focus on the diphthong 'au'."", 'Repeat slowly.', ""Ensure the final 's' is sharp.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'باب' (door).,باب,"[""Focus on the 'b' sound at beginning and end."", 'Repeat slowly and clearly.', 'Match the pronunciation as heard.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'mare'.,mare,"[""Focus on the 'r' rolled lightly."", 'Repeat slowly.', ""Emphasize vowels 'a' and 'e'.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'lluvia' and identify the 'll' sound.,lluvia,"[""Notice the 'll' is pronounced like 'y'."", 'Repeat slowly.', 'Practice saying it smoothly.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'fille' and repeat the 'ill' sound.,fille,"[""Focus on 'ill' pronounced like 'yee'."", 'Repeat slowly at first.', 'Say the whole word clearly.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'zwei' and focus on the 'z' sound.,zwei,"[""Notice 'z' is pronounced 'ts'."", 'Repeat slowly.', 'Practice the whole word.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'جميل' (beautiful) and repeat.,جميل,"[""Focus on the 'j' sound."", 'Repeat slowly and clearly.', ""Ensure the 'l' at the end is soft.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'gnocchi' and repeat the 'gn' sound.,gnocchi,"[""Focus on 'gn' like 'ny'."", 'Repeat slowly.', 'Say the full word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'jalapeño' and identify the 'j' sound.,jalapeño,"[""Notice 'j' pronounced like 'h'."", 'Repeat slowly.', ""Emphasize the 'ñ' sound.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'œuf' and repeat the vowel sound.,œuf,"[""Focus on the 'œu' vowel combination."", 'Repeat slowly until correct.', 'Say the whole word fluently.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Brötchen' and repeat the 'ö' sound.,Brötchen,"[""Focus on the umlaut 'ö'."", 'Repeat slowly.', 'Say the word clearly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'صديق' (friend) and repeat the 'ص' sound.,صديق,"[""Focus on the heavy 'ص' sound."", 'Repeat slowly.', 'Pronounce the rest of the word clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'sciarpa' and repeat the 'sci' sound.,sciarpa,"[""Focus on 'sci' pronounced 'sh'."", 'Repeat slowly.', 'Say the full word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Identify the difference between 'pero' and 'perro'.,pero / perro,"[""Listen for single vs. double 'r'."", 'Repeat both words.', ""Practice rolling the 'rr'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Distinguish between 'ver' and 'vert'.,ver / vert,"[""Listen carefully to the final 't'."", 'Repeat both words.', 'Focus on the vowel and consonant differences.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Distinguish between 'viel' and 'fiel'.,viel / fiel,"[""Listen to 'v' vs. 'f'."", 'Repeat both words.', 'Ensure pronunciation is distinct.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Distinguish between 'سَلام' and 'شَلام'.,سَلام / شَلام,"[""Listen to 'س' vs. 'ش'."", 'Repeat both words slowly.', 'Focus on the consonant differences.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Distinguish between 'anno' and 'hanno'.,anno / hanno,"[""Listen for the 'h' sound."", 'Repeat both words.', 'Focus on vowel pronunciation and clarity.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'niño'.,niño,"[""Notice the 'ñ' sound like 'ny'."", 'Repeat slowly.', 'Focus on the nasal sound clearly.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'merci'.,merci,"[""Focus on the soft 'r' sound."", 'Say it slowly and clearly.', 'Keep lips slightly rounded.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Hund'.,Hund,"[""Notice the sharp final 't' sound."", 'Repeat the word slowly.', 'Emphasize clear consonants.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'سماء' (sky).,سماء,"[""Focus on the long 'aa' sound."", 'Repeat slowly.', 'Say each syllable clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'tavolo'.,tavolo,"[""Focus on the open 'a' and clear 'v'."", 'Repeat slowly.', 'Pronounce all vowels distinctly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare the sounds in 'boca' and 'vaca'.,boca / vaca,"[""Listen carefully to 'b' and 'v'."", 'Repeat each word slowly.', 'Note they sound very similar in Spanish.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare the sounds in 'pain' and 'pin'.,pain / pin,"[""Notice the nasal difference between 'an' and 'in'."", 'Repeat each word slowly.', 'Focus on nasal pronunciation.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'Tschüss' and identify the 'tsch' sound.,Tschüss,"[""Focus on 'tsch' pronounced like 'ch' in 'church'."", 'Repeat slowly.', 'Say the word clearly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare the sounds in 'ح' and 'هـ'.,ح / هـ,"[""Listen carefully: 'ح' is deeper, 'هـ' is lighter."", 'Repeat both slowly.', 'Distinguish using your throat placement.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Listen to 'pizza' and focus on the double 'zz'.,pizza,"['Emphasize the double consonant sound.', 'Repeat slowly.', 'Make the pause between vowels short.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'cerveza' and practice the 'z' sound.,cerveza,"[""Notice 'z' sounds like 'th' in Spain or 's' in Latin America."", 'Repeat clearly.', 'Focus on regional pronunciation difference.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'coeur' and focus on the 'eu' sound.,coeur,"[""Focus on 'eu' pronounced like a short 'uh'."", 'Repeat slowly.', 'Match the vowel tone carefully.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Käse' and repeat the 'ä' sound.,Käse,"[""Notice 'ä' sounds like 'eh'."", 'Repeat slowly.', 'Focus on open vowel sound.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'غزال' (deer) and repeat the 'gh' sound.,غزال,"[""Focus on the throat-based 'غ'."", 'Repeat clearly and slowly.', 'Keep airflow steady while pronouncing.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'chiave' and identify the 'ch' sound.,chiave,"[""Note that 'ch' sounds like 'k'."", 'Repeat slowly.', 'Say the full word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'casa' and 'caza'.,casa / caza,"[""Listen for the difference between 's' and 'th' or 's' depending on dialect."", 'Repeat both words slowly.', 'Notice regional variations in pronunciation.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'bleu' and 'bleue'.,bleu / bleue,"['Listen to how the final vowel changes sound slightly.', 'Repeat both words slowly.', 'Emphasize vowel clarity.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'sehen' and 'zehn'.,sehen / zehn,"[""Listen for 's' vs. 'z' sounds."", 'Repeat both words slowly.', 'Pay attention to vowel length too.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'د' and 'ض'.,د / ض,"[""Focus on how 'ض' is heavier and deeper."", 'Repeat each slowly.', 'Feel the throat position change.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'pane' and 'pene'.,pane / pene,"[""Focus on the vowel difference 'a' vs 'e'."", 'Repeat each slowly.', 'Maintain correct vowel sound distinctly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'zapato'.,zapato,"[""Notice the soft 'z' sound at the start."", 'Repeat slowly and clearly.', 'Emphasize each syllable equally.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'porte'.,porte,"[""Pay attention to the silent final 'e'."", ""Focus on the soft 'r' sound."", 'Repeat slowly and clearly.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Apfel' (apple).,Apfel,"[""Focus on the 'pf' sound in the middle."", 'Repeat slowly.', 'Practice joining the consonants smoothly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'ورد' (flower).,ورد,"[""Focus on the 'w' sound at the start."", 'Repeat slowly.', 'Emphasize each consonant clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'amico'.,amico,"[""Focus on the soft 'c' pronounced like 'k'."", 'Repeat the word slowly.', 'Say it clearly with rounded vowels.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Identify the difference between 'cima' and 'sima'.,cima / sima,"[""Listen for the 'c' vs 's' sound."", 'Repeat both words carefully.', 'Notice the meaning changes with sound.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Identify the nasal sound in 'mon' and 'main'.,mon / main,"[""Notice 'on' and 'in' have different nasal tones."", 'Repeat each word slowly.', 'Focus on airflow through the nose.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Berg' and 'Werk'.,Berg / Werk,"[""Focus on 'B' vs 'W' sounds."", 'Repeat slowly and clearly.', 'Ensure consonant sounds are crisp.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ث' and 'س'.,ث / س,"[""Notice 'ث' has a 'th' sound, 'س' has 's'."", 'Repeat slowly and carefully.', ""Keep your tongue light against teeth for 'ث'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'cielo' and 'chiaro'.,cielo / chiaro,"[""Listen for 'ce' as 'che' and 'chi' as 'ki'."", 'Repeat both slowly.', 'Focus on the vowel change.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'gente' and focus on the 'g' sound.,gente,"[""Notice 'g' before 'e' sounds like 'h'."", 'Repeat slowly.', 'Practice other words with the same pattern.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'rue' and 'roue' carefully.,rue / roue,"[""Focus on 'u' vs 'ou' vowel sounds."", 'Repeat both words slowly.', ""Keep lips rounded for 'u' sound.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'König' and repeat the 'ö' sound.,König,"[""Focus on 'ö' pronounced between 'o' and 'e'."", 'Repeat slowly.', 'Use rounded lips when saying it.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'عَين' (eye) and repeat the 'ع' sound.,عين,"[""Focus on the deep throat 'ع' sound."", 'Repeat slowly.', 'Keep airflow smooth through the throat.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'gli' in 'figli' and repeat correctly.,figli,"[""Focus on 'gli' pronounced 'ly'."", 'Repeat slowly and clearly.', 'Say the word completely.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'gato' and 'jato' (soft vs harsh sounds).,gato / jato,"[""Notice 'g' is softer than 'j'."", 'Repeat both words.', ""Use a gentle breath for 'g' and stronger for 'j'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'beau' and 'boue'.,beau / boue,"[""Notice the vowel 'o' vs 'ou'."", 'Repeat each word slowly.', ""Keep lips more rounded for 'ou'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Tag' and 'Tage'.,Tag / Tage,"[""Notice how 'e' changes the ending sound."", 'Repeat slowly.', 'Focus on vowel clarity.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ضوء' (light) and 'ذوق' (taste).,ضوء / ذوق,"[""Listen to 'ض' vs 'ذ'."", 'Repeat slowly.', ""Focus on the deeper sound of 'ض'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'palla' and 'pala'.,palla / pala,"[""Notice the difference made by the double 'l'."", 'Repeat both slowly.', 'Pause slightly longer on the double consonant.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'queso'.,queso,"[""Notice that 'q' sounds like 'k'."", 'Repeat the word slowly.', ""Say each syllable clearly: 'ke-so'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'livre'.,livre,"[""Focus on the soft 'r' sound."", ""Say 'li-vr' smoothly."", ""Avoid stressing the final 'e'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Wasser'.,Wasser,"[""Focus on the double 's' giving a sharp sound."", 'Repeat the word slowly.', ""Keep the 'r' soft at the end.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'بيت' (house).,بيت,"[""Notice the 'b' and 't' sounds clearly."", 'Repeat slowly.', 'Say the vowels lightly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'dolce'.,dolce,"[""Notice that 'ce' sounds like 'che'."", 'Repeat slowly.', 'Emphasize both syllables evenly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'gente' and 'gato'.,gente / gato,"[""Notice how 'g' before 'e' sounds like 'h'."", ""Listen to 'g' before 'a' sounding like 'g'."", 'Repeat both slowly to hear the difference.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'garçon' and 'gâteau'.,garçon / gâteau,"[""Focus on 'ç' making an 's' sound in 'garçon'."", ""Notice the hard 'g' in 'gâteau'."", 'Repeat both clearly to hear the change.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Kuchen' and 'küchen'.,Kuchen / küchen,"[""Notice the 'u' vs 'ü' vowel change."", 'Repeat both slowly.', ""Focus on lip rounding for 'ü'.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ت' and 'ط'.,ت / ط,"[""Listen for 'ت' being light and 'ط' being heavy."", 'Repeat each sound slowly.', ""Use your tongue slightly deeper for 'ط'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'cena' and 'china'.,cena / china,"[""Note 'ce' sounds 'che' while 'chi' sounds 'ki'."", 'Repeat each slowly.', ""Focus on the vowel after 'c'.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'jamón' and 'jalapeño'.,jamón / jalapeño,"[""Notice 'j' is pronounced like 'h'."", 'Repeat both slowly.', ""Pay attention to the nasal 'ñ' in 'jalapeño'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'lait' and 'laid'.,lait / laid,"['Focus on the subtle vowel difference.', 'Repeat both words slowly.', 'Try to hear the final consonant sound difference.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Bücher' and 'Bäcker'.,Bücher / Bäcker,"[""Focus on 'ü' vs 'ä' sounds."", 'Repeat slowly.', 'Use proper mouth shape for each vowel.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'خ' and 'غ'.,خ / غ,"[""Notice 'خ' is lighter and 'غ' is deeper in the throat."", 'Repeat each sound carefully.', 'Feel the difference in vibration.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'zucchero' and repeat the 'z' sound.,zucchero,"[""Notice 'z' sounds like 'ts'."", 'Repeat slowly.', 'Say the whole word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'vino' and 'vinoo'.,vino / vinoo,"['Notice the longer vowel sound in the second.', 'Repeat both slowly.', 'Focus on vowel length difference.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'tout' and 'tu'.,tout / tu,"[""Notice 'ou' sounds 'oo' while 'u' is tighter."", 'Repeat each slowly.', 'Focus on lip shape difference.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'bitte' and 'biete'.,bitte / biete,"[""Listen for 'i' vs 'ie' vowel length."", 'Repeat each word slowly.', 'Keep vowel sounds distinct and clear.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'سيف' (sword) and 'صيف' (summer).,سيف / صيف,"[""Focus on 'س' vs 'ص'."", 'Repeat slowly.', ""Note how 'ص' is a heavier sound.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'rosso' and 'riso'.,rosso / riso,"[""Notice the double 's' in 'rosso' makes a longer sound."", 'Repeat both slowly.', 'Emphasize consonant length.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'luna'.,luna,"[""Focus on the soft 'l' sound at the beginning."", 'Repeat slowly and clearly.', ""Keep the 'u' round and smooth.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'chien'.,chien,"[""Focus on 'ch' pronounced 'sh'."", ""Listen for the nasal 'ien' ending."", ""Repeat clearly with soft 'n'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Apfelkuchen'.,Apfelkuchen,"[""Break it into 'Ap-fel-ku-chen'."", ""Focus on 'ch' pronounced softly."", 'Say it slowly and clearly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'نجم' (star).,نجم,"[""Focus on the 'n' and 'j' sounds."", 'Repeat slowly.', 'Say each letter clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'verde'.,verde,"[""Focus on the rolled 'r'."", ""Say each syllable clearly: 'ver-de'."", 'Repeat at a slow pace first.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'casa' and 'caza'.,casa / caza,"[""Listen for 's' vs. 'th' in some dialects."", 'Repeat both slowly.', 'Notice how meaning changes with sound.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'pain' and 'pan'.,pain / pan,"[""Listen for the nasal vowel in 'pain'."", 'Say both words slowly.', 'Focus on the ending difference.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Brot' and 'Brötchen'.,Brot / Brötchen,"[""Notice the 'ö' sound in the second word."", 'Repeat both words clearly.', 'Focus on vowel pronunciation difference.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ز' and 'ذ'.,ز / ذ,"[""Notice 'ز' sounds like 'z' and 'ذ' like 'th'."", 'Repeat both sounds slowly.', ""Use your tongue lightly for 'ذ'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'gente' and 'gatto'.,gente / gatto,"[""Notice 'g' before 'e' sounds soft like 'j'."", 'Repeat both words slowly.', ""Focus on the soft and hard 'g' difference.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'lluvia' and 'yema'.,lluvia / yema,"[""Notice 'll' and 'y' have similar sounds in Spanish."", 'Repeat both slowly.', 'Hear regional differences if possible.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'cœur' and 'queue'.,cœur / queue,"[""Focus on 'eu' vs. 'ue' sounds."", 'Repeat both slowly.', ""Keep lips rounded for 'eu'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'schön' and 'Sohn'.,schön / Sohn,"[""Notice the difference between 'ö' and 'o'."", 'Repeat both slowly.', ""Emphasize vowel rounding for 'ö'.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'ص' and 'س'.,ص / س,"[""Notice that 'ص' is heavier and deeper."", 'Repeat both slowly.', 'Focus on tongue placement difference.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'cuore' and 'fiore'.,cuore / fiore,"[""Focus on the difference between 'c' and 'f'."", 'Repeat both slowly.', 'Emphasize the vowel transition in each word.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'río' and 'perro'.,río / perro,"[""Listen for the single 'r' vs. rolled 'rr'."", 'Repeat slowly.', ""Try to roll the tongue for 'rr'.""]"
