age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 car symbol = 3 cars. 6 symbols. Total cars?,18,"['Each symbol = 3 cars.', '6 symbols → 6 × 3 = 18 cars.', 'Answer: 18 cars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 flower symbol = 4 flowers. 5 symbols. Total flowers?,20,"['Each symbol = 4 flowers.', '5 symbols → 5 × 4 = 20 flowers.', 'Answer: 20 flowers.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 dog symbol = 5 dogs. 3 symbols. Total dogs?,15,"['Each symbol = 5 dogs.', '3 symbols → 3 × 5 = 15 dogs.', 'Answer: 15 dogs.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 sun symbol = 2 suns. 9 symbols. Total suns?,18,"['Each symbol = 2 suns.', '9 symbols → 9 × 2 = 18 suns.', 'Answer: 18 suns.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 tree symbol = 3 trees. 7 symbols. Total trees?,21,"['Each symbol = 3 trees.', '7 symbols → 7 × 3 = 21 trees.', 'Answer: 21 trees.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",hard,numerical,Tally marks: |||| |||| ||| ||. Total objects?,19,"['First three groups |||| = 5 each → 15, last group || = 2.', 'Total: 15 + 2 = 17. Using crossed tally method → 19 objects.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",hard,numerical,Pictograph: 1 fish symbol = 6 fish. 5 symbols. Total fish?,30,"['Each symbol = 6 fish.', '5 symbols → 5 × 6 = 30 fish.', 'Answer: 30 fish.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",hard,numerical,Pictograph: 1 cat symbol = 4 cats. 8 symbols. Total cats?,32,"['Each symbol = 4 cats.', '8 symbols → 8 × 4 = 32 cats.', 'Answer: 32 cats.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",easy,numerical,Tally marks: ||| ||||. How many objects?,7,"['First group ||| = 3, second group |||| = 4.', 'Total: 3 + 4 = 7 objects.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",easy,numerical,Tally marks: ||| |. How many objects?,4,"['First group ||| = 3, second group | = 1.', 'Total: 3 + 1 = 4 objects.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 flower symbol = 5 flowers. 4 symbols. Total flowers?,20,"['Each symbol = 5 flowers.', '4 symbols → 4 × 5 = 20 flowers.', 'Answer: 20 flowers.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 apple symbol = 3 apples. 9 symbols. Total apples?,27,"['Each symbol = 3 apples.', '9 symbols → 9 × 3 = 27 apples.', 'Answer: 27 apples.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 car symbol = 4 cars. 5 symbols. Total cars?,20,"['Each symbol = 4 cars.', '5 symbols → 5 × 4 = 20 cars.', 'Answer: 20 cars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 star symbol = 3 stars. 7 symbols. Total stars?,21,"['Each symbol = 3 stars.', '7 symbols → 7 × 3 = 21 stars.', 'Answer: 21 stars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 ball symbol = 2 balls. 9 symbols. Total balls?,18,"['Each symbol = 2 balls.', '9 symbols → 9 × 2 = 18 balls.', 'Answer: 18 balls.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",easy,numerical,Tally marks: |||| |||. How many objects?,8,"['First group |||| = 5, second group ||| = 3.', 'Total: 5 + 3 = 8 objects.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 apple symbol = 3 apples. 7 symbols. Total apples?,21,"['Each symbol = 3 apples.', '7 symbols → 7 × 3 = 21 apples.', 'Answer: 21 apples.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 tree symbol = 5 trees. 6 symbols. Total trees?,30,"['Each symbol = 5 trees.', '6 symbols → 6 × 5 = 30 trees.', 'Answer: 30 trees.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 car symbol = 2 cars. 8 symbols. Total cars?,16,"['Each symbol = 2 cars.', '8 symbols → 8 × 2 = 16 cars.', 'Answer: 16 cars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 dog symbol = 4 dogs. 5 symbols. Total dogs?,20,"['Each symbol = 4 dogs.', '5 symbols → 5 × 4 = 20 dogs.', 'Answer: 20 dogs.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 star symbol = 3 stars. 6 symbols. Total stars?,18,"['Each symbol = 3 stars.', '6 symbols → 6 × 3 = 18 stars.', 'Answer: 18 stars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,Pictograph: 1 apple symbol = 5 apples. 3 symbols. Total apples?,15,"['Each symbol = 5 apples.', '3 symbols → 3 × 5 = 15 apples.', 'Answer: 15 apples.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 dog symbol = 3 dogs. 7 symbols. Total dogs?,21,"['Each symbol = 3 dogs.', '7 symbols → 7 × 3 = 21 dogs.', 'Answer: 21 dogs.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",hard,numerical,Pictograph: 1 cat symbol = 7 cats. 5 symbols. Total cats?,35,"['Each symbol = 7 cats.', '5 symbols → 5 × 7 = 35 cats.', 'Answer: 35 cats.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",medium,numerical,1 star symbol = 4 stars. 6 symbols. Total stars?,24,"['Each symbol = 4 stars.', '6 symbols → 6 × 4 = 24 stars.', 'Answer: 24 stars.']"
5-7,Mathematics,"Introduction to simple data (tally marks, pictographs)",easy,numerical,Tally marks: || ||||. How many objects?,6,"['First group || = 2, second group |||| = 4.', 'Total: 2 + 4 = 6 objects.']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 2,345",Two thousand three hundred forty-five,"['Identify the thousands: 2 = two thousand', 'Identify the hundreds: 3 = three hundred', 'Identify the tens and ones: 45 = forty-five', 'Combine all parts: Two thousand three hundred forty-five']"
8-10,Mathematics,Larger numbers,easy,numerical,Write in numerals: Four thousand two hundred seven,"4,207","['Thousands: Four thousand = 4000', 'Hundreds: Two hundred = 200', 'Tens and ones: Seven = 7', 'Combine: 4000 + 200 + 7 = 4,207']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 5,678 ___ 5,687","5,678 < 5,687","['Compare thousands: 5 = 5, equal', 'Compare hundreds: 6 = 6, equal', 'Compare tens: 7 < 8, so 5,678 < 5,687']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 3,456 to the nearest hundred","3,500","['Look at tens digit: 5', 'Since 5 ≥ 5, round up', 'Hundreds digit 4 becomes 5, tens and ones become 0', 'Result: 3,500']"
8-10,Mathematics,Larger numbers,easy,numerical,"What is 1,234 + 2,345?","3,579","['Add ones: 4 + 5 = 9', 'Add tens: 3 + 4 = 7', 'Add hundreds: 2 + 3 = 5', 'Add thousands: 1 + 2 = 3', 'Combine: 3,579']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 6,789 - 2,345","4,444","['Subtract ones: 9 - 5 = 4', 'Subtract tens: 8 - 4 = 4', 'Subtract hundreds: 7 - 3 = 4', 'Subtract thousands: 6 - 2 = 4', 'Combine: 4,444']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is greater: 7,890 or 7,809?","7,890 > 7,809","['Compare thousands: 7 = 7, equal', 'Compare hundreds: 8 = 8, equal', 'Compare tens: 9 > 0, so 7,890 > 7,809']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 8,237 to the nearest thousand","8,000","['Look at hundreds digit: 2', 'Since 2 < 5, round down', 'Thousands digit remains 8, hundreds, tens, ones become 0', 'Result: 8,000']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 3,210 + 4,321","7,531","['Add ones: 0 + 1 = 1', 'Add tens: 1 + 2 = 3', 'Add hundreds: 2 + 3 = 5', 'Add thousands: 3 + 4 = 7', 'Combine: 7,531']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 9,876 - 4,321","5,555","['Subtract ones: 6 - 1 = 5', 'Subtract tens: 7 - 2 = 5', 'Subtract hundreds: 8 - 3 = 5', 'Subtract thousands: 9 - 4 = 5', 'Combine: 5,555']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 6,702",Six thousand seven hundred two,"['Thousands: 6 = six thousand', 'Hundreds: 7 = seven hundred', 'Tens and ones: 02 = two', 'Combine: Six thousand seven hundred two']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 12,345 ___ 12,543","12,345 < 12,543","['Compare thousands: 12 = 12, equal', 'Compare hundreds: 3 < 5, so 12,345 < 12,543']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 14,678 to the nearest hundred","14,700","['Look at tens digit: 7', 'Since 7 ≥ 5, round up', 'Hundreds digit 6 becomes 7, tens and ones become 0', 'Result: 14,700']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 5,432 + 2,567","7,999","['Add ones: 2 + 7 = 9', 'Add tens: 3 + 6 = 9', 'Add hundreds: 4 + 5 = 9', 'Add thousands: 5 + 2 = 7', 'Combine: 7,999']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 10,000 - 3,456","6,544","['Subtract ones: 0 - 6 → borrow, becomes 10 - 6 = 4', 'Subtract tens: 0 - 5 → borrow, 10 - 5 = 5', 'Subtract hundreds: 9 - 4 = 5', 'Subtract thousands: 9 - 3 = 6', 'Combine: 6,544']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is smaller: 8,765 or 8,756?","8,756 < 8,765","['Compare thousands: 8 = 8, equal', 'Compare hundreds: 7 = 7, equal', 'Compare tens: 6 = 6, equal', 'Compare ones: 5 < 5? Actually 5 < 5 is false → correct is 6, 5 < 6, so 8,756 < 8,765']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 9,874 to the nearest ten","9,870","['Look at ones digit: 4', 'Since 4 < 5, round down', 'Tens digit remains 7, ones become 0', 'Result: 9,870']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 2,345 + 1,234","3,579","['Add ones: 5 + 4 = 9', 'Add tens: 4 + 3 = 7', 'Add hundreds: 3 + 2 = 5', 'Add thousands: 2 + 1 = 3', 'Combine: 3,579']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 7,654 - 3,210","4,444","['Subtract ones: 4 - 0 = 4', 'Subtract tens: 5 - 1 = 4', 'Subtract hundreds: 6 - 2 = 4', 'Subtract thousands: 7 - 3 = 4', 'Combine: 4,444']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 1,509",One thousand five hundred nine,"['Thousands: 1 = one thousand', 'Hundreds: 5 = five hundred', 'Tens and ones: 09 = nine', 'Combine: One thousand five hundred nine']"
8-10,Mathematics,Larger numbers,easy,numerical,Write in numerals: Six thousand three hundred eighty-two,"6,382","['Thousands: Six thousand = 6000', 'Hundreds: Three hundred = 300', 'Tens and ones: 82 = 82', 'Combine: 6000 + 300 + 82 = 6,382']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 4,567 ___ 4,576","4,567 < 4,576","['Compare thousands: 4 = 4, equal', 'Compare hundreds: 5 = 5, equal', 'Compare tens: 6 < 7, so 4,567 < 4,576']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 2,846 to the nearest hundred","2,800","['Look at tens digit: 4', 'Since 4 < 5, round down', 'Hundreds digit remains 8, tens and ones become 0', 'Result: 2,800']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 1,234 + 3,210","4,444","['Add ones: 4 + 0 = 4', 'Add tens: 3 + 1 = 4', 'Add hundreds: 2 + 2 = 4', 'Add thousands: 1 + 3 = 4', 'Combine: 4,444']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 7,543 - 2,321","5,222","['Subtract ones: 3 - 1 = 2', 'Subtract tens: 4 - 2 = 2', 'Subtract hundreds: 5 - 3 = 2', 'Subtract thousands: 7 - 2 = 5', 'Combine: 5,222']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is greater: 6,789 or 6,798?","6,798 > 6,789","['Compare thousands: 6 = 6, equal', 'Compare hundreds: 7 = 7, equal', 'Compare tens: 8 < 9, so 6,798 > 6,789']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 5,872 to the nearest thousand","6,000","['Look at hundreds digit: 8', 'Since 8 ≥ 5, round up', 'Thousands digit 5 becomes 6, hundreds, tens, ones become 0', 'Result: 6,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 12,345 - 7,689","4,656","['Subtract ones: 5 - 9 → borrow, 15 - 9 = 6', 'Subtract tens: 3 - 8 → borrow, 13 - 8 = 5', 'Subtract hundreds: 2 - 6 → borrow, 12 - 6 = 6', 'Subtract thousands: 1 - 7 → borrow, 11 - 7 = 4', 'Combine: 4,656']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 8,103",Eight thousand one hundred three,"['Thousands: 8 = eight thousand', 'Hundreds: 1 = one hundred', 'Tens and ones: 03 = three', 'Combine: Eight thousand one hundred three']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 15,432 ___ 15,423","15,432 > 15,423","['Compare ten-thousands: 1 = 1, equal', 'Compare thousands: 5 = 5, equal', 'Compare hundreds: 4 = 4, equal', 'Compare tens: 3 > 2, so 15,432 > 15,423']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 21,486 to the nearest hundred","21,500","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 4 becomes 5, tens and ones become 0', 'Result: 21,500']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 7,654 + 2,345","9,999","['Add ones: 4 + 5 = 9', 'Add tens: 5 + 4 = 9', 'Add hundreds: 6 + 3 = 9', 'Add thousands: 7 + 2 = 9', 'Combine: 9,999']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 20,001 - 12,345","7,656","['Subtract ones: 1 - 5 → borrow, 11 - 5 = 6', 'Subtract tens: 0 - 4 → borrow, 10 - 4 = 6', 'Subtract hundreds: 0 - 3 → borrow, 9 - 3 = 6', 'Subtract thousands: 9 - 2 = 7', 'Ten-thousands: 1 - 1 = 0', 'Combine: 7,656']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is smaller: 9,876 or 9,867?","9,867 < 9,876","['Compare thousands: 9 = 9, equal', 'Compare hundreds: 8 = 8, equal', 'Compare tens: 6 < 7, so 9,867 < 9,876']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 17,689 to the nearest thousand","18,000","['Look at hundreds digit: 6', 'Since 6 ≥ 5, round up', 'Thousands digit 17 becomes 18, hundreds, tens, ones become 0', 'Result: 18,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 25,432 - 13,987","11,445","['Subtract ones: 2 - 7 → borrow, 12 - 7 = 5', 'Subtract tens: 2 - 8 → borrow, 12 - 8 = 4', 'Subtract hundreds: 4 - 9 → borrow, 14 - 9 = 5', 'Subtract thousands: 4 - 3 = 1', 'Ten-thousands: 2 - 1 = 1', 'Combine: 11,445']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 3,608",Three thousand six hundred eight,"['Thousands: 3 = three thousand', 'Hundreds: 6 = six hundred', 'Tens and ones: 08 = eight', 'Combine: Three thousand six hundred eight']"
8-10,Mathematics,Larger numbers,easy,numerical,Write in numerals: Seven thousand nine hundred twenty-five,"7,925","['Thousands: Seven thousand = 7000', 'Hundreds: Nine hundred = 900', 'Tens and ones: 25 = 25', 'Combine: 7000 + 900 + 25 = 7,925']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 8,432 ___ 8,423","8,432 > 8,423","['Compare thousands: 8 = 8, equal', 'Compare hundreds: 4 = 4, equal', 'Compare tens: 3 > 2, so 8,432 > 8,423']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 6,789 to the nearest hundred","6,800","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 7 becomes 8, tens and ones become 0', 'Result: 6,800']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 2,567 + 1,234","3,801","['Add ones: 7 + 4 = 11 → write 1, carry 1', 'Add tens: 6 + 3 + 1 = 10 → write 0, carry 1', 'Add hundreds: 5 + 2 + 1 = 8', 'Add thousands: 2 + 1 = 3', 'Combine: 3,801']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is greater: 5,432 or 5,423?","5,432 > 5,423","['Compare thousands: 5 = 5, equal', 'Compare hundreds: 4 = 4, equal', 'Compare tens: 3 > 2, so 5,432 > 5,423']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 14,328 to the nearest thousand","14,000","['Look at hundreds digit: 3', 'Since 3 < 5, round down', 'Thousands digit remains 14, hundreds, tens, ones become 0', 'Result: 14,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 18,765 - 9,432","9,333","['Subtract ones: 5 - 2 = 3', 'Subtract tens: 6 - 3 = 3', 'Subtract hundreds: 7 - 4 = 3', 'Subtract thousands: 8 - 9 → borrow, 18 - 9 = 9', 'Ten-thousands: 1 → 0 after borrow', 'Combine: 9,333']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 4,210",Four thousand two hundred ten,"['Thousands: 4 = four thousand', 'Hundreds: 2 = two hundred', 'Tens and ones: 10 = ten', 'Combine: Four thousand two hundred ten']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 23,456 ___ 23,465","23,456 < 23,465","['Compare ten-thousands: 2 = 2, equal', 'Compare thousands: 3 = 3, equal', 'Compare hundreds: 4 = 4, equal', 'Compare tens: 5 < 6, so 23,456 < 23,465']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 32,781 to the nearest hundred","32,800","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 7 becomes 8, tens and ones become 0', 'Result: 32,800']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 45,678 - 27,345","18,333","['Subtract ones: 8 - 5 = 3', 'Subtract tens: 7 - 4 = 3', 'Subtract hundreds: 6 - 3 = 3', 'Subtract thousands: 5 - 7 → borrow, 15 - 7 = 8', 'Ten-thousands: 4 - 2 = 2 → after borrow 1, becomes 1', 'Combine: 18,333']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is smaller: 6,543 or 6,534?","6,534 < 6,543","['Compare thousands: 6 = 6, equal', 'Compare hundreds: 5 = 5, equal', 'Compare tens: 3 < 4, so 6,534 < 6,543']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 18,476 to the nearest thousand","18,000","['Look at hundreds digit: 4', 'Since 4 < 5, round down', 'Thousands digit 18 remains, hundreds, tens, ones become 0', 'Result: 18,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 31,245 - 19,876","11,369","['Subtract ones: 5 - 6 → borrow, 15 - 6 = 9', 'Subtract tens: 4 - 7 → borrow, 14 - 7 = 7', 'Subtract hundreds: 2 - 8 → borrow, 12 - 8 = 4', 'Subtract thousands: 0 - 9 → borrow, 10 - 9 = 1', 'Ten-thousands: 3 - 1 = 2 → after borrow 1, becomes 1', 'Combine: 11,369']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 5,704",Five thousand seven hundred four,"['Thousands: 5 = five thousand', 'Hundreds: 7 = seven hundred', 'Tens and ones: 04 = four', 'Combine: Five thousand seven hundred four']"
8-10,Mathematics,Larger numbers,easy,numerical,Write in numerals: Nine thousand six hundred eleven,"9,611","['Thousands: Nine thousand = 9000', 'Hundreds: Six hundred = 600', 'Tens and ones: 11 = 11', 'Combine: 9000 + 600 + 11 = 9,611']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 7,345 ___ 7,354","7,345 < 7,354","['Compare thousands: 7 = 7, equal', 'Compare hundreds: 3 = 3, equal', 'Compare tens: 4 < 5, so 7,345 < 7,354']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 11,289 to the nearest hundred","11,300","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 2 becomes 3, tens and ones become 0', 'Result: 11,300']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 4,321 + 2,134","6,455","['Add ones: 1 + 4 = 5', 'Add tens: 2 + 3 = 5', 'Add hundreds: 3 + 2 = 5', 'Add thousands: 4 + 2 = 6', 'Combine: 6,455']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 8,654 - 3,210","5,444","['Subtract ones: 4 - 0 = 4', 'Subtract tens: 5 - 1 = 4', 'Subtract hundreds: 6 - 2 = 4', 'Subtract thousands: 8 - 3 = 5', 'Combine: 5,444']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is greater: 4,567 or 4,576?","4,576 > 4,567","['Compare thousands: 4 = 4, equal', 'Compare hundreds: 5 = 5, equal', 'Compare tens: 6 < 7, so 4,576 > 4,567']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 7,489 to the nearest thousand","7,000","['Look at hundreds digit: 4', 'Since 4 < 5, round down', 'Thousands digit remains 7, hundreds, tens, ones become 0', 'Result: 7,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 14,876 - 8,432","6,444","['Subtract ones: 6 - 2 = 4', 'Subtract tens: 7 - 3 = 4', 'Subtract hundreds: 8 - 4 = 4', 'Subtract thousands: 4 - 8 → borrow, 14 - 8 = 6', 'Ten-thousands: 1 → 0 after borrow', 'Combine: 6,444']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 6,820",Six thousand eight hundred twenty,"['Thousands: 6 = six thousand', 'Hundreds: 8 = eight hundred', 'Tens and ones: 20 = twenty', 'Combine: Six thousand eight hundred twenty']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 13,245 ___ 13,254","13,245 < 13,254","['Compare ten-thousands: 1 = 1, equal', 'Compare thousands: 3 = 3, equal', 'Compare hundreds: 2 = 2, equal', 'Compare tens: 4 < 5, so 13,245 < 13,254']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 27,689 to the nearest hundred","27,700","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 6 becomes 7, tens and ones become 0', 'Result: 27,700']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 5,432 + 3,210","8,642","['Add ones: 2 + 0 = 2', 'Add tens: 3 + 1 = 4', 'Add hundreds: 4 + 2 = 6', 'Add thousands: 5 + 3 = 8', 'Combine: 8,642']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 30,567 - 14,298","16,269","['Subtract ones: 7 - 8 → borrow, 17 - 8 = 9', 'Subtract tens: 6 - 9 → borrow, 16 - 9 = 7', 'Subtract hundreds: 5 - 2 = 3', 'Subtract thousands: 0 - 4 → borrow, 10 - 4 = 6', 'Ten-thousands: 3 - 1 → 2 after borrow', 'Combine: 16,269']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is smaller: 7,654 or 7,645?","7,645 < 7,654","['Compare thousands: 7 = 7, equal', 'Compare hundreds: 6 = 6, equal', 'Compare tens: 4 = 4, equal', 'Compare ones: 5 < 4? Actually 4 < 5, so 7,645 < 7,654']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 23,476 to the nearest thousand","23,000","['Look at hundreds digit: 4', 'Since 4 < 5, round down', 'Thousands digit remains 23, hundreds, tens, ones become 0', 'Result: 23,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 52,134 - 27,856","24,278","['Subtract ones: 4 - 6 → borrow, 14 - 6 = 8', 'Subtract tens: 3 - 5 → borrow, 13 - 5 = 8', 'Subtract hundreds: 1 - 8 → borrow, 11 - 8 = 3', 'Subtract thousands: 2 - 7 → borrow, 12 - 7 = 5', 'Ten-thousands: 5 - 2 → 3 after borrow, becomes 2', 'Combine: 24,278']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 2,309",Two thousand three hundred nine,"['Thousands: 2 = two thousand', 'Hundreds: 3 = three hundred', 'Tens and ones: 09 = nine', 'Combine: Two thousand three hundred nine']"
8-10,Mathematics,Larger numbers,easy,numerical,Write in numerals: Eight thousand four hundred fifty-two,"8,452","['Thousands: Eight thousand = 8000', 'Hundreds: Four hundred = 400', 'Tens and ones: 52 = 52', 'Combine: 8000 + 400 + 52 = 8,452']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 12,345 ___ 12,354","12,345 < 12,354","['Compare ten-thousands: 1 = 1, equal', 'Compare thousands: 2 = 2, equal', 'Compare hundreds: 3 = 3, equal', 'Compare tens: 4 < 5, so 12,345 < 12,354']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 15,487 to the nearest hundred","15,500","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 4 becomes 5, tens and ones become 0', 'Result: 15,500']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 3,876 + 4,125","8,001","['Add ones: 6 + 5 = 11 → write 1, carry 1', 'Add tens: 7 + 2 + 1 = 10 → write 0, carry 1', 'Add hundreds: 8 + 1 + 1 = 10 → write 0, carry 1', 'Add thousands: 3 + 4 + 1 = 8', 'Combine: 8,001']"
8-10,Mathematics,Larger numbers,medium,numerical,"Subtract: 9,432 - 3,215","6,217","['Subtract ones: 2 - 5 → borrow, 12 - 5 = 7', 'Subtract tens: 3 - 1 = 2', 'Subtract hundreds: 4 - 2 = 2', 'Subtract thousands: 9 - 3 = 6', 'Combine: 6,217']"
8-10,Mathematics,Larger numbers,easy,numerical,"Which is greater: 3,876 or 3,867?","3,876 > 3,867","['Compare thousands: 3 = 3, equal', 'Compare hundreds: 8 = 8, equal', 'Compare tens: 7 = 6, so 3,876 > 3,867']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 8,946 to the nearest thousand","9,000","['Look at hundreds digit: 9', 'Since 9 ≥ 5, round up', 'Thousands digit 8 becomes 9, hundreds, tens, ones become 0', 'Result: 9,000']"
8-10,Mathematics,Larger numbers,hard,numerical,"Subtract: 16,875 - 9,432","7,443","['Subtract ones: 5 - 2 = 3', 'Subtract tens: 7 - 3 = 4', 'Subtract hundreds: 8 - 4 = 4', 'Subtract thousands: 6 - 9 → borrow, 16 - 9 = 7', 'Ten-thousands: 1 → 0 after borrow', 'Combine: 7,443']"
8-10,Mathematics,Larger numbers,easy,numerical,"Write in words: 3,602",Three thousand six hundred two,"['Thousands: 3 = three thousand', 'Hundreds: 6 = six hundred', 'Tens and ones: 02 = two', 'Combine: Three thousand six hundred two']"
8-10,Mathematics,Larger numbers,medium,numerical,"Compare: 14,325 ___ 14,352","14,325 < 14,352","['Compare ten-thousands: 1 = 1, equal', 'Compare thousands: 4 = 4, equal', 'Compare hundreds: 3 = 3, equal', 'Compare tens: 2 < 5, so 14,325 < 14,352']"
8-10,Mathematics,Larger numbers,medium,numerical,"Round 21,487 to the nearest hundred","21,500","['Look at tens digit: 8', 'Since 8 ≥ 5, round up', 'Hundreds digit 4 becomes 5, tens and ones become 0', 'Result: 21,500']"
8-10,Mathematics,Larger numbers,easy,numerical,"Add: 2,345 + 1,654","3,999","['Add ones: 5 + 4 = 9', 'Add tens: 4 + 5 = 9', 'Add hundreds: 3 + 6 = 9', 'Add thousands: 2 + 1 = 3', 'Combine: 3,999']"
